급,감염병,연결등급,계열,지침명,등록일,URL
제4급,급성호흡기감염증,direct,,2023년제1급중동호흡기증후군[MERS]중증급성호흡기증후군[SARS]대응지침(2023.4.),2023.04.21,https://www.kdca.go.kr/bbs/kdca/55/228122/artclView.do
제4급,급성호흡기감염증,direct,,"2023년도 호흡기감염병 관리지침 (수막구균감염증, 성홍열, 급성호흡기감염증)",2023.04.06,https://www.kdca.go.kr/bbs/kdca/55/228114/artclView.do
제4급,급성호흡기감염증,direct,,제1급감염병 중증급성호흡기증후군(SARS) 대응 지침(22년판),2022.01.25,https://www.kdca.go.kr/bbs/kdca/55/227946/artclView.do
제4급,급성호흡기감염증,group,호흡기,2026년도 호흡기감염병 관리지침(일부개정판),2026.03.30,https://www.kdca.go.kr/bbs/kdca/55/310611/artclView.do
제4급,급성호흡기감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,다제내성녹농균(MRPA) 감염증,group,의료관련,2026년 의료관련감염병 지역 의료기관 네트워크 운영 사업 지침,2026.03.13,https://www.kdca.go.kr/bbs/kdca/55/310439/artclView.do
제4급,다제내성녹농균(MRPA) 감염증,group,의료관련,2026년도 의료관련감염병 관리지침,2026.02.02,https://www.kdca.go.kr/bbs/kdca/55/309968/artclView.do
제4급,다제내성녹농균(MRPA) 감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,다제내성아시네토박터바우마니균(MRAB) 감염증,group,의료관련,2026년 의료관련감염병 지역 의료기관 네트워크 운영 사업 지침,2026.03.13,https://www.kdca.go.kr/bbs/kdca/55/310439/artclView.do
제4급,다제내성아시네토박터바우마니균(MRAB) 감염증,group,의료관련,2026년도 의료관련감염병 관리지침,2026.02.02,https://www.kdca.go.kr/bbs/kdca/55/309968/artclView.do
제4급,다제내성아시네토박터바우마니균(MRAB) 감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,메티실린내성황색포도알균(MRSA) 감염증,group,의료관련,2026년 의료관련감염병 지역 의료기관 네트워크 운영 사업 지침,2026.03.13,https://www.kdca.go.kr/bbs/kdca/55/310439/artclView.do
제4급,메티실린내성황색포도알균(MRSA) 감염증,group,의료관련,2026년도 의료관련감염병 관리지침,2026.02.02,https://www.kdca.go.kr/bbs/kdca/55/309968/artclView.do
제4급,메티실린내성황색포도알균(MRSA) 감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,반코마이신내성장알균(VRE) 감염증,group,의료관련,2026년 의료관련감염병 지역 의료기관 네트워크 운영 사업 지침,2026.03.13,https://www.kdca.go.kr/bbs/kdca/55/310439/artclView.do
제4급,반코마이신내성장알균(VRE) 감염증,group,의료관련,2026년도 의료관련감염병 관리지침,2026.02.02,https://www.kdca.go.kr/bbs/kdca/55/309968/artclView.do
제4급,반코마이신내성장알균(VRE) 감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,사람유두종바이러스 감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,성기단순포진,group,성매개,2026년 성매개감염병 관리지침,2026.03.03,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do
제4급,성기단순포진,group,성매개,2022년 성매개감염병 관리지침 서식모음,2022.02.14,https://www.kdca.go.kr/bbs/kdca/57/228485/artclView.do
제4급,성기단순포진,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,수족구병,direct,,2026년도 엔테로바이러스감염증·수족구병 관리지침 재안내,2026.06.01,https://www.kdca.go.kr/bbs/kdca/55/311285/artclView.do
제4급,수족구병,direct,,｢2024년도 엔테로바이러스 감염증‧수족구병 관리지침｣ 일부 개정,2024.09.13,https://www.kdca.go.kr/bbs/kdca/55/228237/artclView.do
제4급,수족구병,direct,,2020년 엔테로 바이러스 수족구병 관리지침,2020.01.09,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20200109480038851&q_clsfNo=0
제4급,수족구병,direct,,2016년 수족구병지침,2018.07.16,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716963872432&q_clsfNo=0
제4급,수족구병,direct,,2016년도 수족구병 관리지침,2016.06.10,https://www.kdca.go.kr/bbs/kdca/55/227488/artclView.do
제4급,수족구병,direct,,2014년 인플루엔자 및 수족구병 표본감시 안내 지침,2018.07.16,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716222728036&q_clsfNo=0
제4급,수족구병,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,엔테로바이러스감염증,direct,,2026년도 엔테로바이러스감염증·수족구병 관리지침 재안내,2026.06.01,https://www.kdca.go.kr/bbs/kdca/55/311285/artclView.do
제4급,엔테로바이러스감염증,direct,,｢2024년도 엔테로바이러스 감염증‧수족구병 관리지침｣ 일부 개정,2024.09.13,https://www.kdca.go.kr/bbs/kdca/55/228237/artclView.do
제4급,엔테로바이러스감염증,direct,,2022년도 엔테로바이러스 관리지침,2022.03.02,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220302615066215&q_clsfNo=0
제4급,엔테로바이러스감염증,direct,,2021년도 수인성‧식품매개감염병 관리 지침 및 엔테로바이러스 수족구 관리 지침,2021.03.12,https://www.kdca.go.kr/bbs/kdca/55/227856/artclView.do
제4급,엔테로바이러스감염증,direct,,2020년 엔테로 바이러스 수족구병 관리지침,2020.01.09,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20200109480038851&q_clsfNo=0
제4급,엔테로바이러스감염증,direct,,"법정감염병 표본감시 신고지침(급성호흡기감염증, 장관감염증, 엔테로바이러스감염증)",2015.01.16,https://www.kdca.go.kr/bbs/kdca/55/227431/artclView.do
제4급,엔테로바이러스감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,연성하감,group,성매개,2026년 성매개감염병 관리지침,2026.03.03,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do
제4급,연성하감,group,성매개,2022년 성매개감염병 관리지침 서식모음,2022.02.14,https://www.kdca.go.kr/bbs/kdca/57/228485/artclView.do
제4급,연성하감,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,요충증,group,기생충,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
제4급,요충증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,인플루엔자,direct,,의원급 의료기관 인플루엔자 의사환자 감시 가이드라인(의료기관용),2025.12.10,https://www.kdca.go.kr/bbs/kdca/55/228322/artclView.do
제4급,인플루엔자,direct,,2025 시설별 인플루엔자 관리지침(사업장용),2025.10.21,https://www.kdca.go.kr/bbs/kdca/55/228311/artclView.do
제4급,인플루엔자,direct,,2025-2026 절기 인플루엔자 관리지침,2025.09.26,https://www.kdca.go.kr/bbs/kdca/55/228308/artclView.do
제4급,인플루엔자,direct,,2024-2025절기 인플루엔자 관리 지침,2024.12.03,https://www.kdca.go.kr/bbs/kdca/55/228251/artclView.do
제4급,인플루엔자,direct,,2024 시설별 인플루엔자 관리지침(사업장용),2024.11.18,https://www.kdca.go.kr/bbs/kdca/55/228247/artclView.do
제4급,인플루엔자,direct,,2024년 제1급감염병(동물인플루엔자 인체감염증) 대응지침(2024.10월),2024.10.29,https://www.kdca.go.kr/bbs/kdca/55/228244/artclView.do
제4급,인플루엔자,group,호흡기,2026년도 호흡기감염병 관리지침(일부개정판),2026.03.30,https://www.kdca.go.kr/bbs/kdca/55/310611/artclView.do
제4급,인플루엔자,group,예방접종,(7.27.수정)2026년 국가예방접종 지침,2026.01.09,https://www.kdca.go.kr/bbs/kdca/55/309683/artclView.do
제4급,인플루엔자,group,예방접종,2025년 예방접종대상감염병 관리지침,2025.05.20,https://www.kdca.go.kr/bbs/kdca/55/228295/artclView.do
제4급,인플루엔자,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,임질,group,성매개,2026년 성매개감염병 관리지침,2026.03.03,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do
제4급,임질,group,성매개,2022년 성매개감염병 관리지침 서식모음,2022.02.14,https://www.kdca.go.kr/bbs/kdca/57/228485/artclView.do
제4급,임질,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,장관감염증,direct,,급성 위장관계 감염 항생제 사용지침,2019.05.10,https://www.kdca.go.kr/bbs/kdca/55/227699/artclView.do
제4급,장관감염증,direct,,"법정감염병 표본감시 신고지침(급성호흡기감염증, 장관감염증, 엔테로바이러스감염증)",2015.01.16,https://www.kdca.go.kr/bbs/kdca/55/227431/artclView.do
제4급,장관감염증,direct,,2014년 장관감염증_표본감시_안내 지침,2018.07.16,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716313338013&q_clsfNo=0
제4급,장관감염증,direct,,2011 장관감염증 표본감시 안내지침,2011.01.27,https://www.kdca.go.kr/bbs/kdca/55/227315/artclView.do
제4급,장관감염증,direct,,"장관감염증, 엔테로바이러스 감염증 신고서식",2014.01.03,https://www.kdca.go.kr/bbs/kdca/57/228411/artclView.do
제4급,장관감염증,direct,,장관감염증 표본감시 안내,2014.01.02,https://www.kdca.go.kr/bbs/kdca/55/227392/artclView.do
제4급,장관감염증,group,수인성,2026년 수인성·식품매개감염병 관리지침 재안내,2026.06.01,https://www.kdca.go.kr/bbs/kdca/55/311284/artclView.do
제4급,장관감염증,group,수인성,2021년도 수인성‧식품매개감염병 관리 지침 및 엔테로바이러스 수족구 관리 지침,2021.03.12,https://www.kdca.go.kr/bbs/kdca/55/227856/artclView.do
제4급,장관감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,장흡충증,group,기생충,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
제4급,장흡충증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,첨규콘딜롬,group,성매개,2026년 성매개감염병 관리지침,2026.03.03,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do
제4급,첨규콘딜롬,group,성매개,2022년 성매개감염병 관리지침 서식모음,2022.02.14,https://www.kdca.go.kr/bbs/kdca/57/228485/artclView.do
제4급,첨규콘딜롬,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,칸디다 오리스 감염증,direct,,칸디다 오리스 치료 권고안,2026.04.20,https://www.kdca.go.kr/bbs/kdca/49/310813/artclView.do
제4급,칸디다 오리스 감염증,direct,,2026년도 칸디다 오리스 관리지침,2026.03.19,https://www.kdca.go.kr/bbs/kdca/55/310488/artclView.do
제4급,칸디다 오리스 감염증,direct,,칸디다 오리스(C. auris) 의료기관 감염관리 권고안,2026.02.03,https://www.kdca.go.kr/bbs/kdca/49/309982/artclView.do
제4급,칸디다 오리스 감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,코로나바이러스감염증-19,direct,,2026년 코로나바이러스감염증-19 관리지침,2026.08.27,https://www.kdca.go.kr/bbs/kdca/55/312381/artclView.do
제4급,코로나바이러스감염증-19,direct,,코로나19예방접종 피해보상 특별법 업무지침(2판),2026.06.02,https://www.kdca.go.kr/bbs/kdca/55/311300/artclView.do
제4급,코로나바이러스감염증-19,direct,,코로나19예방접종 피해보상 특별법 업무지침(2판) 서식,2026.06.02,https://www.kdca.go.kr/bbs/kdca/57/311301/artclView.do
제4급,코로나바이러스감염증-19,direct,,만성 코로나19증후군 임상진료지침 권고안(2025),2026.02.10,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260210094545190&q_clsfNo=-1
제4급,코로나바이러스감염증-19,direct,,「코로나바이러스감염증-19 재택치료 안내서」,2025.12.03,https://www.kdca.go.kr/bbs/kdca/55/228320/artclView.do
제4급,코로나바이러스감염증-19,direct,,코로나바이러스감염증-19 치료제 사용 안내서(제13-2판) 개정 안내,2025.10.28,https://www.kdca.go.kr/bbs/kdca/55/228313/artclView.do
제4급,코로나바이러스감염증-19,group,호흡기,2026년도 호흡기감염병 관리지침(일부개정판),2026.03.30,https://www.kdca.go.kr/bbs/kdca/55/310611/artclView.do
제4급,코로나바이러스감염증-19,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,클라미디아감염증,group,성매개,2026년 성매개감염병 관리지침,2026.03.03,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do
제4급,클라미디아감염증,group,성매개,2022년 성매개감염병 관리지침 서식모음,2022.02.14,https://www.kdca.go.kr/bbs/kdca/57/228485/artclView.do
제4급,클라미디아감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,편충증,group,기생충,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
제4급,편충증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,폐흡충증,group,기생충,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
제4급,폐흡충증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,해외유입기생충감염증,direct,,2011 해외유입기생충감염증 표본감시 안내지침,2011.01.27,https://www.kdca.go.kr/bbs/kdca/55/227314/artclView.do
제4급,해외유입기생충감염증,direct,,해외유입기생충감염증 표본감시 신고 서식,2008.02.29,https://www.kdca.go.kr/bbs/kdca/57/228346/artclView.do
제4급,해외유입기생충감염증,direct,,해외유입기생충감염증 정보집,2023.03.22,https://www.kdca.go.kr/bbs/kdca/49/219075/artclView.do
제4급,해외유입기생충감염증,group,기생충,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
제4급,해외유입기생충감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제4급,회충증,group,기생충,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
제4급,회충증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
