지침명,다루는병,계열,URL,등록일,비고
"# 제목만으로는 잡히지 않는 소속, 게시판 밖에서만 배포되는 지침을 여기에 한 줄씩 적는다.",,,,,
"# 다루는병은 세미콜론으로 여러 개. 여기 적은 것은 색인에서 direct(사실)로 취급한다.",,,,,
