제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
2026년도 바이러스성 모기매개감염병 관리지침,2026.03.12,2026,KDCA게시판,Y,11,https://www.kdca.go.kr/bbs/kdca/55/310434/artclView.do,,바이러스성모기매개감염병관리지침
2026년도 말라리아 관리지침,2026.03.12,2026,KDCA게시판,Y,24,https://www.kdca.go.kr/bbs/kdca/55/310433/artclView.do,,말라리아관리지침
2026년도 진드기·설치류매개감염병 관리지침,2026.03.06,2026,KDCA게시판,Y,7,https://www.kdca.go.kr/bbs/kdca/55/310390/artclView.do,,진드기설치류매개감염병관리지침
2026년 의료관련감염병 표본감시 운영 및 예산집행 안내,2026.03.06,2026,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/310382/artclView.do,,의료관련감염병표본감시운영예산집행
2026년 성매개감염병 관리지침,2026.03.03,2026,KDCA게시판+감염병포털,Y,12,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260303173721749&q_clsfNo=-1,성매개감염병관리지침
2026년도 한센병사업관리지침,2026.02.24,2026,KDCA게시판+감염병포털,Y,8,https://www.kdca.go.kr/bbs/kdca/55/310222/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260224093345460&q_clsfNo=-1,한센병사업관리지침
소독업 관련 질의응답집(2026.1월),2026.02.09,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/310062/artclView.do,,소독업관련질의응답집
2026년 HIV/AIDS 관리지침,2026.02.02,2026,KDCA게시판+감염병포털,Y,14,https://www.kdca.go.kr/bbs/kdca/55/309970/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260202102903689&q_clsfNo=-1,HIV/AIDS관리지침
2026년도 의료관련감염병 관리지침,2026.02.02,2026,KDCA게시판,Y,10,https://www.kdca.go.kr/bbs/kdca/55/309968/artclView.do,,의료관련감염병관리지침
2026년도 레지오넬라증 관리지침,2026.01.30,2026,KDCA게시판,Y,8,https://www.kdca.go.kr/bbs/kdca/55/309941/artclView.do,,레지오넬라증관리지침
2026년 제1급감염병(중동호흡기증후군(MERS)·중증급성호흡기증후군(SARS)) 대응지침,2026.01.22,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309847/artclView.do,,제1급감염병중증급성호흡기증후군)대응지침
요양병원 감염관리 toolkit,2026.01.22,2026,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/309845/artclView.do,,요양병원감염관리toolkit
2026년 주요감염병 표본감시사업 안내,2026.01.19,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309785/artclView.do,,주요감염병표본감시사업
2026년 지역사회 통합건강증진사업 안내(아토피·천식 예방관리),2026.01.13,2026,KDCA게시판,Y,11,https://www.kdca.go.kr/bbs/kdca/55/309706/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309605/artclView.do,지역사회통합건강증진사업
(7.27.수정)2026년 국가예방접종 지침,2026.01.09,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309683/artclView.do,,국가예방접종지침
2026 국가결핵관리지침,2026.01.05,2026,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309608/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260105170034695&q_clsfNo=-1,2026국가결핵관리지침
2026년 고혈압·당뇨병 등록관리사업 표준실무지침,2026.01.05,2026,KDCA게시판,Y,12,https://www.kdca.go.kr/bbs/kdca/55/309604/artclView.do,,고혈압당뇨병등록관리사업표준실무지침
2026년 시도 심뇌혈관질환 예방관리사업 안내,2026.01.05,2026,KDCA게시판,Y,11,https://www.kdca.go.kr/bbs/kdca/55/309603/artclView.do,,시도심뇌혈관질환예방관리사업
2026년도 바이러스 간염 관리지침(A형·B형·C형·E형),2026.01.05,2026,KDCA게시판,Y,4,https://www.kdca.go.kr/bbs/kdca/55/309601/artclView.do,,바이러스간염관리지침
소아청소년 마이코플라스마 폐렴균 감염증 진료지침 2026,2025.12.18,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309367/artclView.do,,소아청소년마이코플라스마폐렴균감염증진료지침2026
2025년도 감염병 역학조사 연보,2026.07.08,2025,KDCA게시판,Y,7,https://www.kdca.go.kr/bbs/kdca/55/311716/artclView.do,,감염병역학조사연보
2025년 CRE 감염증 감소전략 운영 사업 지침,2026.02.12,2025,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/310098/artclView.do,,CRE감염증감소전략운영사업지침
만성 코로나19증후군 임상진료지침 권고안(2025),2026.02.10,2025,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260210094545190&q_clsfNo=-1,,만성코로나19증후군임상진료지침권고안
치과감염관리 표준정책 매뉴얼,2025.12.31,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309537/artclView.do,,치과감염관리표준정책매뉴얼
중증열성혈소판감소증후군(SFTS) 공동 역학조사 매뉴얼,2025.12.31,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309533/artclView.do,,중증열성혈소판감소증후군공동역학조사매뉴얼
제4-1판 의료관련감염 집단발생 대응 안내,2025.12.29,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/309484/artclView.do,,제41판의료관련감염집단발생대응
병원기반 인간 마이크로바이옴 연구개발 사업 운영 가이드라인 개정판(2025년),2025.12.26,2025,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/309469/artclView.do,,병원기반인간마이크로바이옴연구개발사업운영가이드라인
