연도,주차,기준일,급,감염병,금주신고수,연누계,5년주별평균,예년대비배수,열부분추출,출처호
2024,1,2024-01-06,3,후천성면역결핍증(AIDS),0,0,6.0,0.0,,17-2
2024,1,2024-01-06,3,크로이츠펠트-야콥병(CJD),0,0,1.0,0.0,,17-2
2024,1,2024-01-06,3,뎅기열,1,1,2.0,0.5,,17-2
2024,1,2024-01-06,3,큐열,1,1,1.0,1.0,,17-2
2024,1,2024-01-06,3,라임병,0,0,0.0,,,17-2
2024,1,2024-01-06,3,유비저,0,0,0.0,,,17-2
2024,1,2024-01-06,3,치쿤구니야열,0,0,0.0,,,17-2
2024,1,2024-01-06,3,중증열성혈소판감소 증후군(SFTS),0,0,0.0,,,17-2
2024,1,2024-01-06,3,지카바이러스감염증,0,0,0.0,,,17-2
2024,1,2024-01-06,3,매독(1기),9,9,,,,17-2
2024,1,2024-01-06,3,매독(2기),3,3,,,,17-2
2024,1,2024-01-06,3,매독(3기),1,1,,,,17-2
2024,1,2024-01-06,3,매독(잠복),14,14,,,,17-2
2024,1,2024-01-06,3,엠폭스(원숭이두창),0,0,,,,17-2
2024,6,2024-02-10,2,결핵,319,1992,349.0,0.91,,17-6
2024,6,2024-02-10,2,수두,289,3187,743.0,0.39,,17-6
2024,6,2024-02-10,2,홍역,1,5,2.0,0.5,,17-6
2024,6,2024-02-10,2,콜레라,0,0,0.0,,,17-6
2024,6,2024-02-10,2,장티푸스,0,3,2.0,0.0,,17-6
2024,6,2024-02-10,2,파라티푸스,1,7,1.0,1.0,,17-6
2024,6,2024-02-10,2,세균성이질,2,5,1.0,2.0,,17-6
2024,6,2024-02-10,2,장출혈성대장균감염증,0,11,1.0,0.0,,17-6
2024,6,2024-02-10,2,A형간염,13,122,71.0,0.18,,17-6
2024,6,2024-02-10,2,백일해,25,116,4.0,6.25,,17-6
2024,6,2024-02-10,2,유행성이하선염,51,472,159.0,0.32,,17-6
2024,6,2024-02-10,2,풍진,0,0,0.0,,,17-6
2024,6,2024-02-10,2,수막구균 감염증,0,1,0.0,,,17-6
2024,6,2024-02-10,2,폐렴구균 감염증,9,76,9.0,1.0,,17-6
2024,6,2024-02-10,2,한센병,0,0,0.0,,,17-6
2024,6,2024-02-10,2,성홍열,28,209,64.0,0.44,,17-6
2024,6,2024-02-10,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,0,0.0,,,17-6
2024,6,2024-02-10,2,카바페넴내성장내세균목(CRE) 감염증,784,5664,396.0,1.98,,17-6
2024,6,2024-02-10,2,E형간염,11,69,,,,17-6
2024,6,2024-02-10,3,파상풍,0,2,0.0,,,17-6
2024,6,2024-02-10,3,B형간염,4,34,7.0,0.57,,17-6
2024,6,2024-02-10,3,일본뇌염,0,0,0.0,,,17-6
2024,6,2024-02-10,3,C형간염,92,795,187.0,0.49,,17-6
2024,6,2024-02-10,3,말라리아,0,6,1.0,0.0,,17-6
2024,6,2024-02-10,3,레지오넬라증,9,40,7.0,1.29,,17-6
2024,6,2024-02-10,3,비브리오패혈증,0,0,0.0,,,17-6
2024,6,2024-02-10,3,발진열,0,10,0.0,,,17-6
2024,6,2024-02-10,3,쯔쯔가무시증,33,183,13.0,2.54,,17-6
2024,6,2024-02-10,3,렙토스피라증,0,4,1.0,0.0,,17-6
2024,6,2024-02-10,3,브루셀라증,0,0,0.0,,,17-6
2024,6,2024-02-10,3,신증후군출혈열,0,24,3.0,0.0,,17-6
2024,6,2024-02-10,3,후천성면역결핍증(AIDS),12,56,11.0,1.09,,17-6
2024,6,2024-02-10,3,크로이츠펠트-야콥병(CJD),0,0,2.0,0.0,,17-6
2024,6,2024-02-10,3,뎅기열,0,15,3.0,0.0,,17-6
2024,6,2024-02-10,3,큐열,2,5,1.0,2.0,,17-6
2024,6,2024-02-10,3,라임병,0,8,0.0,,,17-6
2024,6,2024-02-10,3,유비저,0,0,0.0,,,17-6
2024,6,2024-02-10,3,치쿤구니야열,0,0,0.0,,,17-6
2024,6,2024-02-10,3,중증열성혈소판감소 증후군(SFTS),0,0,0.0,,,17-6
2024,6,2024-02-10,3,지카바이러스감염증,0,0,0.0,,,17-6
2024,6,2024-02-10,3,엠폭스(원숭이두창),0,0,,,,17-6
2024,6,2024-02-10,3,매독(1기),17,118,,,,17-6
2024,6,2024-02-10,3,매독(2기),3,55,,,,17-6
2024,6,2024-02-10,3,매독(3기),1,12,,,,17-6
2024,6,2024-02-10,3,매독(선천성),0,1,,,,17-6
2024,6,2024-02-10,3,매독(잠복),14,164,,,,17-6
2024,10,2024-03-09,2,결핵,351,3123,350.0,1.0,,17-10
2024,10,2024-03-09,2,수두,292,4752,546.0,0.53,,17-10
2024,10,2024-03-09,2,홍역,0,9,1.0,0.0,,17-10
2024,10,2024-03-09,2,콜레라,0,0,0.0,,,17-10
2024,10,2024-03-09,2,장티푸스,0,4,1.0,0.0,,17-10
2024,10,2024-03-09,2,파라티푸스,0,1,0.0,,,17-10
2024,10,2024-03-09,2,세균성이질,1,5,0.0,,,17-10
2024,10,2024-03-09,2,장출혈성대장균감염증,0,12,1.0,0.0,,17-10
2024,10,2024-03-09,2,A형간염,14,218,98.0,0.14,,17-10
2024,10,2024-03-09,2,백일해,16,174,3.0,5.33,,17-10
2024,10,2024-03-09,2,유행성이하선염,79,830,169.0,0.47,,17-10
2024,10,2024-03-09,2,풍진,0,0,0.0,,,17-10
2024,10,2024-03-09,2,수막구균 감염증,0,2,0.0,,,17-10
2024,10,2024-03-09,2,폐렴구균 감염증,2,107,7.0,0.29,,17-10
2024,10,2024-03-09,2,한센병,0,1,0.0,,,17-10
2024,10,2024-03-09,2,성홍열,23,355,53.0,0.43,,17-10
2024,10,2024-03-09,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,0,0.0,,,17-10
2024,10,2024-03-09,2,카바페넴내성장내세균목(CRE) 감염증,879,9967,381.0,2.31,,17-10
2024,10,2024-03-09,2,E형간염,4,110,,,,17-10
2024,10,2024-03-09,3,파상풍,0,2,0.0,,,17-10
2024,10,2024-03-09,3,B형간염,1,49,7.0,0.14,,17-10
2024,10,2024-03-09,3,일본뇌염,0,0,0.0,,,17-10
2024,10,2024-03-09,3,C형간염,58,1179,183.0,0.32,,17-10
2024,10,2024-03-09,3,말라리아,0,7,1.0,0.0,,17-10
2024,10,2024-03-09,3,레지오넬라증,3,60,6.0,0.5,,17-10
2024,10,2024-03-09,3,비브리오패혈증,0,0,0.0,,,17-10
2024,10,2024-03-09,3,발진열,0,2,0.0,,,17-10
2024,10,2024-03-09,3,쯔쯔가무시증,8,245,9.0,0.89,,17-10
2024,10,2024-03-09,3,렙토스피라증,0,2,1.0,0.0,,17-10
2024,10,2024-03-09,3,브루셀라증,0,0,0.0,,,17-10
2024,10,2024-03-09,3,신증후군출혈열,2,35,2.0,1.0,,17-10
2024,10,2024-03-09,3,후천성면역결핍증(AIDS),19,105,16.0,1.19,,17-10
2024,10,2024-03-09,3,크로이츠펠트-야콥병(CJD),0,0,1.0,0.0,,17-10
2024,10,2024-03-09,3,뎅기열,2,28,1.0,2.0,,17-10
2024,10,2024-03-09,3,큐열,1,9,1.0,1.0,,17-10
2024,10,2024-03-09,3,라임병,0,0,0.0,,,17-10
2024,10,2024-03-09,3,유비저,0,0,0.0,,,17-10
2024,10,2024-03-09,3,치쿤구니야열,0,0,0.0,,,17-10
2024,10,2024-03-09,3,중증열성혈소판감소 증후군(SFTS),0,0,0.0,,,17-10
2024,10,2024-03-09,3,지카바이러스감염증,0,0,0.0,,,17-10
2024,10,2024-03-09,3,엠폭스(원숭이두창),0,0,,,,17-10
2024,10,2024-03-09,3,매독(1기),23,181,,,,17-10
2024,10,2024-03-09,3,매독(2기),13,84,,,,17-10
2024,10,2024-03-09,3,매독(3기),0,18,,,,17-10
2024,10,2024-03-09,3,매독(선천성),0,2,,,,17-10
2024,10,2024-03-09,3,매독(잠복),32,245,,,,17-10
2024,14,2024-04-06,2,결핵,341,4260,361.0,0.94,,17-14
2024,14,2024-04-06,2,수두,460,6594,576.0,0.8,,17-14
2024,14,2024-04-06,2,홍역,0,13,3.0,0.0,,17-14
2024,14,2024-04-06,2,콜레라,0,0,0.0,,,17-14
2024,14,2024-04-06,2,장티푸스,0,8,1.0,0.0,,17-14
2024,14,2024-04-06,2,파라티푸스,0,3,1.0,0.0,,17-14
2024,14,2024-04-06,2,세균성이질,1,9,1.0,1.0,,17-14
2024,14,2024-04-06,2,장출혈성대장균감염증,0,18,2.0,0.0,,17-14
2024,14,2024-04-06,2,A형간염,13,331,122.0,0.11,,17-14
2024,14,2024-04-06,2,백일해,19,238,2.0,9.5,,17-14
