제목,등록일,연도,출처,게시판,최신판,판수,URL,URL2,계열키
2022년 고혈압 당뇨병 등록관리사업 표준 실무지침,2022.01.27,2022,KDCA게시판,지침,,12,https://www.kdca.go.kr/bbs/kdca/55/227953/artclView.do,,고혈압당뇨병등록관리사업표준실무지침
팍스로비드 투여를 위한 의료진 안내문 [치료제 사용안내서 4-2판_붙임.3-10],2022.01.26,2022,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227951/artclView.do,,팍스로비드투여를위한의료진문
"제1급감염병 두창,페스트,탄저,보툴리눔독소증,야토병 대응 지침(22년판)",2022.01.25,2022,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227949/artclView.do,,제1급감염병두창페스트탄저보툴리눔독소증야토병대응지침
제1급감염병 바이러스성출혈열 대응 지침(22년판),2022.01.25,2022,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227948/artclView.do,,제1급감염병바이러스성출혈열대응지침
제1급감염병 동물인플루엔자 인체감염증 대응 지침(22년판),2022.01.25,2022,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227947/artclView.do,,제1급감염병동물인플루엔자인체감염증대응지침
제1급감염병 중증급성호흡기증후군(SARS) 대응 지침(22년판),2022.01.25,2022,KDCA게시판,지침,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227946/artclView.do,,제1급감염병중증급성호흡기증후군대응지침
제1급감염병 중동호흡기증후군(MERS) 대응 지침(22년판),2022.01.25,2022,KDCA게시판,지침,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227945/artclView.do,,제1급감염병중동호흡기증후군대응지침
바이러스성출혈열 대응지침입니다.,2022.01.25,2022,감염병포털,,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125886432776&q_clsfNo=0,,바이러스성출혈열대응지침입니다
동물인플루엔자 인체감염증 대응지침 입니다.,2022.01.25,2022,감염병포털,,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125784788667&q_clsfNo=0,,동물인플루엔자인체감염증대응지침입니다
"두창, 페스트, 탄저, 보툴리눔독소증, 야토병 대응지침입니다.",2022.01.25,2022,감염병포털,,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125628280733&q_clsfNo=0,,두창페스트탄저보툴리눔독소증야토병대응지침입니다
중증급성호흡기증후군(SARS) 대응지침입니다.,2022.01.25,2022,감염병포털,,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125546375205&q_clsfNo=0,,중증급성호흡기증후군대응지침입니다
중동호흡기증후군(MERS) 대응지침입니다.,2022.01.25,2022,감염병포털,,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125213542588&q_clsfNo=0,,중동호흡기증후군대응지침입니다
법정감염병 진단검사 통합지침 제3-1판,2022.01.19,2022,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227941/artclView.do,,법정감염병진단검사통합지침제31판
2022년 상반기 검역관리지역 안내,2022.01.07,2022,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/221237/artclView.do,,상반기검역관리지역
코로나바이러스감염증-19 대응지침(지자체용) 제10-3판,2022.01.03,2022,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227936/artclView.do,,코로나바이러스감염증19대응지침제103판
"백신 보관 및 관리 가이드라인(보건소·의료기관용, '21.12, 질병관리청)",2022.01.03,2022,KDCA게시판,지침,,2,https://www.kdca.go.kr/bbs/kdca/55/227935/artclView.do,,백신보관관리가이드라인
2022년 결핵관리지침,2021.12.31,2022,KDCA게시판,지침,,8,https://www.kdca.go.kr/bbs/kdca/55/227933/artclView.do,,결핵관리지침
2022년도 감염병 관리 사업 안내,2021.12.30,2022,KDCA게시판+감염병포털,지침,,5,https://www.kdca.go.kr/bbs/kdca/55/227931/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220111049307881&q_clsfNo=0,감염병관리사업
[질병관리청] 연구용역 계약 관련 서류_계약상대자용(2022),2021.06.07,2022,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228479/artclView.do,,연구용역계약관련서류계약상대자용
예방접종센터 운영현황 (기준일 : 2022. 7. 1.),2021.04.14,2022,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/221215/artclView.do,,예방접종센터운영현황
2021 영유아 건강검진 검진의사 상담매뉴얼 개정판(2024년),2025.01.15,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228265/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227940/artclView.do,2021영유아건강검진검진의사상담매뉴얼
2021 영유아건강검진 검진의사 상담 매뉴얼 및 보호자용 설명서 수정본,2022.07.19,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228048/artclView.do,,2021영유아건강검진검진의사상담매뉴얼보호자용설명서수정본
「2021년 국내 의료기관 감염관리 실태조사」시행 및 전산시스템 사용 매뉴얼 안내,2022.01.26,2021,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/221243/artclView.do,,국내의료기관감염관리실태조사시행전산시스템사용매뉴얼
2021년 요양병원 감염관리 toolkit,2022.01.19,2021,KDCA게시판,지침,,2,https://www.kdca.go.kr/bbs/kdca/55/227942/artclView.do,,요양병원감염관리toolkit
생활 방역 세부수칙 안내서 제5-2판,2021.12.30,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227932/artclView.do,,생활방역세부수칙서제52판
주요 감염병 매개모기 방제 지침 (개정판),2021.12.28,2021,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227930/artclView.do,,주요감염병매개모기방제지침
코로나-19 접종증명·음성확인제 지침(제2-2판),2021.12.20,2021,KDCA게시판,지침,,2,https://www.kdca.go.kr/bbs/kdca/55/227929/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227926/artclView.do,코로나19접종증명음성확인제지침
위생해충 분류군별 정보집 (독나방),2021.12.17,2021,KDCA게시판,교육자료,,4,https://www.kdca.go.kr/bbs/kdca/49/219047/artclView.do,https://www.kdca.go.kr/bbs/kdca/49/219044/artclView.do,위생해충분류군별정보집
코로나19 입원·격리자 생활지원비(2-7판) 및 유급휴가비용(2-6판) 지원사업 안내,2021.12.14,2021,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227928/artclView.do,,코로나19입원격리자생활지원비유급휴가비용지원사업
학교기반 비만 예방 프로그램 가이드라인,2021.12.08,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227927/artclView.do,https://www.kdca.go.kr/bbs/kdca/49/219046/artclView.do,학교기반비만예방프로그램가이드라인
상호주의 원칙에 따른 코로나19 격리입원치료비 지원 국가 안내(2021년 12월),2021.12.03,2021,KDCA게시판,지침,,5,https://www.kdca.go.kr/bbs/kdca/55/227925/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227879/artclView.do,상호주의원칙에따른코로나19격리입원치료비지원국가
마스크 착용 방역지침 준수 명령 및 과태료 부과 업무 안내서(제4-1판),2021.11.25,2021,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227924/artclView.do,,마스크착용방역지침준수명령과태료부과업무서
코로나바이러스감염증-19 대응 지침(지자체용) 제10-2판,2021.11.25,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227923/artclView.do,,코로나바이러스감염증19대응지침제102판
"보건소, 위탁의료기관의 백신 수송용기 취급 매뉴얼",2021.11.24,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219045/artclView.do,,보건소위탁의료기관의백신수송용기취급매뉴얼
2021-2022절기 인플루엔자 관리지침,2021.11.19,2021,KDCA게시판+감염병포털,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227922/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220110502426489&q_clsfNo=0,20212022절기인플루엔자관리지침
코로나19 예방접종 실시기준 개정 및 관련 FAQ(21.11.17.),2021.11.19,2021,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227921/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227911/artclView.do,코로나19예방접종실시기준관련FAQ
백내장 수술후 진균성 안내염 집단발생 역학조사 결과,2021.11.15,2021,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/221230/artclView.do,,백내장수술후진균성염집단발생역학조사결과
국립보건연구원 학술 및 정책연구용역 서식,2021.11.12,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228483/artclView.do,,국립보건연구원학술정책연구용역서식
코로나바이러스감염증-19 재택치료 안내서(제4판) 개정 안내,2021.11.09,2021,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227918/artclView.do,,코로나바이러스감염증19재택치료서
코로나19 대응지침 지자체용(10-1판) 중 진단검사관련 일부개정 안내(의료기관 선별진료소 무료검사 대상 구분),2021.11.08,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227917/artclView.do,,코로나19대응지침지자체용중진단검사관련일부
코로나바이러스-19 임시선별검사소 운영 안내 지침(1-3판),2021.11.08,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227916/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227876/artclView.do,코로나바이러스19임시선별검사소운영지침
의료관련감염 집단발생 공동대응 매뉴얼 제2판,2021.11.03,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227915/artclView.do,,의료관련감염집단발생공동대응매뉴얼
의료관련감염 집단발생 대응 안내 제2판,2021.11.03,2021,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227914/artclView.do,,의료관련감염집단발생대응
생활 방역 세부수칙 안내서 제5-1판,2021.11.02,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227912/artclView.do,,생활방역세부수칙서제51판
국립보건연구원 정책연구용역 관리안내(2021.10.29.),2021.10.29,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227920/artclView.do,,국립보건연구원정책연구용역관리
코로나19 예방접종 후 이상반응 관리지침 2판,2021.10.19,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227910/artclView.do,,코로나19예방접종후이상반응관리지침2판
국립보건연구원 연구개발과제 관리지침(2021.10.18.),2021.10.18,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227919/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227824/artclView.do,국립보건연구원연구개발과제관리지침
코로나19 예방접종 후 발생한 혈소판감소설 혈전증 의료인용 안내서 2판,2021.10.08,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227909/artclView.do,,코로나19예방접종후발생한혈소판감소설혈전증의료인용서2판
코로나19 임신부 예방접종 안내문 및 FAQ,2021.10.06,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227908/artclView.do,,코로나19임신부예방접종문FAQ
코로나19 소아청소년 예방접종 안내문 및 FAQ,2021.10.06,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227907/artclView.do,,코로나19소아청소년예방접종문FAQ
소아청소년 대상 코로나19 예방접종 시행 동의서,2021.10.06,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228482/artclView.do,,소아청소년대상코로나19예방접종시행동의서
2021년 HIV/AIDS 서식모음,2021.10.05,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228481/artclView.do,,HIV/AIDS서식모음
2021년 예방접종 후 이상반응 관리지침,2021.10.01,2021,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227906/artclView.do,,예방접종후이상반응관리지침
코로나19 백신 처리절차 안내,2021.09.23,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227905/artclView.do,,코로나19백신처리절차
코로나19 항체검사 관련 Q&A,2021.09.17,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227904/artclView.do,,코로나19항체검사관련Q&A
"2021-2022절기 인플루엔자 국가예방접종 지원사업 관리지침(보건소용,의료기관용) (9.7.지침 수정)",2021.09.10,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227903/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227898/artclView.do,20212022절기인플루엔자국가예방접종지원사업관리지침
코로나19 분자진단검사를 위한 이동형 검사실 운영지침(제1판),2021.09.02,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227902/artclView.do,,코로나19분자진단검사를위한이동형검사실운영지침
「코로나바이러스감염증-19 자가치료 안내서」 (3-1판),2021.09.02,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227901/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227883/artclView.do,코로나바이러스감염증19자가치료서
생활터(직장) 중심 심뇌혈관질환 교육홍보자료(2021년 개정),2021.08.19,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219043/artclView.do,,생활터중심심뇌혈관질환교육홍보자료
2021년 의료인을 위한 말라리아 예방 및 관리 안내서,2021.07.29,2021,KDCA게시판,지침,,2,https://www.kdca.go.kr/bbs/kdca/55/227900/artclView.do,,의료인을위한말라리아예방관리서
감염예방을 위한 주사실무 교육 동영상,2021.07.27,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219042/artclView.do,,감염예방을위한주사실무교육동영상
코로나19 예방접종 후 이상반응 관리지침 1-3판,2021.07.23,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227899/artclView.do,,코로나19예방접종후이상반응관리지침13판
"식품알레르기, 아나필락시스, 노인천식 표준교육프로토콜",2021.07.22,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219041/artclView.do,,식품알레르기아나필락시스노인천식표준교육프로토콜
"아토피피부염, 천식, 알레르기비염 표준교육프로토콜",2021.07.22,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219040/artclView.do,,아토피피부염천식알레르기비염표준교육프로토콜
2021년 성매개감염병 관리지침 개정판(7.19),2021.07.20,2021,KDCA게시판,지침,,12,https://www.kdca.go.kr/bbs/kdca/55/227897/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227893/artclView.do,성매개감염병관리지침
2021년 건강위해요인 인식조사 결과 보고서,2021.07.20,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219039/artclView.do,,건강위해요인인식조사결과보고서
알레르기질환 교육용 판넬카드 및 판넬 포스터,2021.07.16,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219038/artclView.do,,알레르기질환교육용판넬카드판넬포스터
천식발작 응급대처법 매뉴얼(학교용),2021.07.16,2021,KDCA게시판,교육자료,Y,2,https://www.kdca.go.kr/bbs/kdca/49/219037/artclView.do,,천식발작응급대처법매뉴얼
알레르기질환 연극대본 2종,2021.07.16,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219036/artclView.do,,알레르기질환연극대본2종
알레르기질환 동화책 및 만화책(초등학생용),2021.07.16,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219035/artclView.do,,알레르기질환동화책만화책
알레르기질환 그림책 및 워크북(유소아용),2021.07.16,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219034/artclView.do,,알레르기질환그림책워크북
수도권 및 비수도권 임시선별검사소 운영현황(7.12),2021.07.09,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227896/artclView.do,,수도권비수도권임시선별검사소운영현황
코로나19 예방접종 사업지침 - 예방접종센터용(3판),2021.07.08,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227895/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227885/artclView.do,코로나19예방접종사업지침예방접종센터용
"풍수해(「태풍·호우, 대설」) 감염병 대응 매뉴얼(2021년판)",2021.07.07,2021,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227894/artclView.do,,풍수해감염병대응매뉴얼
코로나바이러스감염증-19 예방접종 후 이상반응 관리지침(1-2판) 수정,2021.07.01,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227892/artclView.do,,코로나바이러스감염증19예방접종후이상반응관리지침수정
2021년 하반기 검역관리지역 안내,2021.07.01,2021,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/221223/artclView.do,,하반기검역관리지역
"[역학조사팀] 코로나-19 역학조사서, 입원/격리통지서, 격리통지수령증, 역학조사고지문 번역본(15개 언어)",2021.06.30,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227891/artclView.do,,코로나19역학조사서입원/격리통지서격리통지수령증역학조사고지문번역본
국제공인예방접종지정기관 지정 공고,2021.06.30,2021,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/221222/artclView.do,,국제공인예방접종지정기관지정공고
2021년도 크로이츠펠트-야콥병 관리지침,2021.06.24,2021,KDCA게시판,지침,,11,https://www.kdca.go.kr/bbs/kdca/55/227890/artclView.do,,크로이츠펠트야콥병관리지침
2021년도 인수공통감염병 관리지침,2021.06.24,2021,KDCA게시판,지침,,9,https://www.kdca.go.kr/bbs/kdca/55/227889/artclView.do,,인수공통감염병관리지침
코로나19 백신접종 및 이상반응관리 교육자료,2021.06.23,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219033/artclView.do,,코로나19백신접종이상반응관리교육자료
"코로나19 백신관리(인수, 보관, 폐기) 교육자료",2021.06.23,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219032/artclView.do,,코로나19백신관리교육자료
2021년도 지자체 표본감시 경상보조사업 예산집행 지침,2021.06.21,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227888/artclView.do,,지자체표본감시경상보조사업예산집행지침
코로나바이러스감염증-19 예방접종사업지침 병원급 이상 의료기관용(2판),2021.06.18,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227887/artclView.do,,코로나바이러스감염증19예방접종사업지침병원급이상의료기관용
2021년 진드기·설치류 매개 감염병 관리지침,2021.06.15,2021,KDCA게시판,지침,,7,https://www.kdca.go.kr/bbs/kdca/55/227886/artclView.do,,진드기설치류매개감염병관리지침
[질병관리청] 정책연구용역 사업 관련 서식(2021),2021.06.07,2021,KDCA게시판,서식,Y,2,https://www.kdca.go.kr/bbs/kdca/57/228480/artclView.do,,정책연구용역사업관련서식
"코로나19 백신(AZ, 얀센, 모더나) 접종 교육 동영상",2021.06.07,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219031/artclView.do,https://www.kdca.go.kr/bbs/kdca/49/219027/artclView.do,코로나19백신접종교육동영상
코로나19 예방접종센터/위탁의료기관 「의사소통 도움 그림·글자판/시각 지원판」 사용 매뉴얼,2021.05.31,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227884/artclView.do,,코로나19예방접종센터/위탁의료기관의사소통도움그림글자판/시각지원판사용매뉴얼
2021년도 말라리아 관리지침,2021.05.18,2021,KDCA게시판,지침,,24,https://www.kdca.go.kr/bbs/kdca/55/227882/artclView.do,,말라리아관리지침
"코로나19 기초, 심층 역학조사서 16개언어 번역본",2021.05.14,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228478/artclView.do,,코로나19기초심층역학조사서16개언어번역본
코로나19 예방접종사업 지침 - 위탁의료기관용(1판),2021.05.13,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227881/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227852/artclView.do,코로나19예방접종사업지침위탁의료기관용
알레르기질환 자료 2종(예방관리 수칙 및 응급처치법),2021.05.12,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219030/artclView.do,,알레르기질환자료2종
"교통사고 손상예방을 위한 교통약자 대상 올바른 안전벨트 착용방법 및 안전수칙 교육자료(리플렛 3종, 팜플렛 3종)",2021.05.07,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219028/artclView.do,,교통사고손상예방을위한교통약자대상올바른안전벨트착용방법안전수칙교육자료
2021년도 의료관련감염병 예방관리사업 지침,2021.05.06,2021,KDCA게시판,지침,,5,https://www.kdca.go.kr/bbs/kdca/55/227880/artclView.do,,의료관련감염병예방관리사업지침
국내 예방접종완료 해외입국자 자가격리 면제 가능 변경 안내,2021.05.02,2021,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/221217/artclView.do,,국내예방접종완료해외입국자자가격리면제가능변경
전자모기도감 프로그램,2021.04.29,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219026/artclView.do,,전자모기도감프로그램
제1급감염병 동물인플루엔자 인체감염증 대응지침,2021.04.26,2021,KDCA게시판,지침,,4,https://www.kdca.go.kr/bbs/kdca/55/227878/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227832/artclView.do,제1급감염병동물인플루엔자인체감염증대응지침
코로나바이러스감염증-19 사망자 장례비용 지원 안내 제5판,2021.04.21,2021,KDCA게시판,지침,,2,https://www.kdca.go.kr/bbs/kdca/55/227877/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227842/artclView.do,코로나바이러스감염증19사망자장례비용지원
장애인 대상 감염병 대응 매뉴얼 제2판,2021.04.21,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227875/artclView.do,,장애인대상감염병대응매뉴얼
코로나19 예방접종사업 지침 - 지자체용(2판),2021.04.16,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227874/artclView.do,,코로나19예방접종사업지침지자체용
2021년 지역사회 통합건강증진사업 안내[아토피·천식 예방관리] 지침,2021.04.14,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227873/artclView.do,,지역사회통합건강증진사업지침
코로나19 예방접종 후 혈소판감소증 동반 혈전증 관련 안내서(의료인용)1판,2021.04.13,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227872/artclView.do,,코로나19예방접종후혈소판감소증동반혈전증관련서1판
"유전자검사기관 신고, 변경 신고 및 휴·폐업 신고 안내",2021.04.12,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228477/artclView.do,,유전자검사기관신고변경신고휴폐업신고
​코로나19 예방접종 후 이상반응 관리지침 제1-1판,2021.04.07,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227871/artclView.do,,​코로나19예방접종후이상반응관리지침제11판
2021년 수기명부 지침,2021.04.07,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227870/artclView.do,,수기명부지침
2021년 수기명부 안내 및 서식,2021.04.07,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228476/artclView.do,,수기명부서식
연구목적 시체제공기관 허가 신청 공고문,2021.04.07,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228475/artclView.do,,연구목적시체제공기관허가신청공고문
2021년 검역업무지침,2021.04.02,2021,KDCA게시판,지침,,9,https://www.kdca.go.kr/bbs/kdca/55/227869/artclView.do,,검역업무지침
「코로나바이러스감염증-19 확진자 발생 의료기관 관리」관련 공지,2021.04.01,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227868/artclView.do,,코로나바이러스감염증19확진자발생의료기관관리관련공지
코로나19 예방접종 안내문(7.7.기준),2021.04.01,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228474/artclView.do,,코로나19예방접종문
코로나19 예방접종 예진표('21.10.1. 기준),2021.04.01,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228473/artclView.do,,코로나19예방접종예진표
예방접종증명서 및 확인서 서식,2021.04.01,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228472/artclView.do,,예방접종증명서확인서서식
코로나19 백신 예방접종 내역 확인서_수정,2021.04.01,2021,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228471/artclView.do,,코로나19백신예방접종내역확인서수정
2021년도 C형간염 관리지침,2021.03.31,2021,KDCA게시판,지침,,5,https://www.kdca.go.kr/bbs/kdca/55/227866/artclView.do,,C형간염관리지침
2021년도 수막구균 감염증 관리지침,2021.03.31,2021,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227865/artclView.do,,수막구균감염증관리지침
코로나바이러스감염증-19 격리입원치료비 Q&A (`21.3.30),2021.03.30,2021,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227864/artclView.do,,코로나바이러스감염증19격리입원치료비Q&A
코로나19 대응을 위한 방역관리자 업무 안내 (2판),2021.03.29,2021,KDCA게시판,지침,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227863/artclView.do,,코로나19대응을위한방역관리자업무
2021년도 의료관련감염병 관리지침,2021.03.26,2021,KDCA게시판,지침,,10,https://www.kdca.go.kr/bbs/kdca/55/227861/artclView.do,,의료관련감염병관리지침
2021년도 예방접종 대상 감염병 관리지침,2021.03.25,2021,KDCA게시판,지침,,8,https://www.kdca.go.kr/bbs/kdca/55/227860/artclView.do,,예방접종대상감염병관리지침
작은소피참진드기 도판,2021.03.22,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219024/artclView.do,,작은소피참진드기도판
일차의료용 우울증 권고 요약본,2021.03.17,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219023/artclView.do,,일차의료용우울증권고요약본
"일차의료용 천식(성인, 소아) 권고 요약본",2021.03.17,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219022/artclView.do,,일차의료용천식권고요약본
일차의료용 만성콩팥병 권고 요약본,2021.03.17,2021,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/219021/artclView.do,,일차의료용만성콩팥병권고요약본
2021년도 기생충감염병 관리지침,2021.03.16,2021,KDCA게시판,지침,,8,https://www.kdca.go.kr/bbs/kdca/55/227859/artclView.do,,기생충감염병관리지침
2021년 한센병사업 관리지침,2021.03.15,2021,KDCA게시판,지침,,8,https://www.kdca.go.kr/bbs/kdca/55/227858/artclView.do,,한센병사업관리지침
