국가(지역),동물인플루엔자인체감염증,에볼라바이러스병,중동호흡기증후군,페스트,콜레라,황열,마버그열,라싸열,크리미안콩고출혈열,폴리오,홍역,뎅기열,치쿤구니야열,지카바이러스감염증,니파바이러스감염증
캐나다,,,,,,,,,,,●,,,,
케냐,,●,,,●,●,,,,,●,●,●,,
코모로,,,,,,,,,,,●,●,●,,
코스타리카,,,,,,,,,,,,●,●,●,
코트디부아르,,,,,●,●,,,,,●,●,,,
콜롬비아,,,,,,●,,,,,,●,●,●,
콩고,,●,,,●,●,,,,,●,,,,
콩고민주공화국,,●,,●,●,●,●,,,●,●,,,,
쿠바,,,,,,,,,,,,●,●,,
쿠웨이트,,,●,,,,,,,,,,,,
쿡제도,,,,,,,,,,,,●,,,
키르기스스탄,,,,,,,,,,,●,,,,
키리바시,,,,,,,,,,,,●,,,
타지키스탄,,,,,,,,,,,●,,,,
탄자니아,,●,,,●,,●,,,,●,●,,,
태국,,,,,,,,,,,●,●,●,●,
터크스케이커스,,,,,,,,,,,,●,,,
토고,,,,,●,●,,,,●,●,,,,
토켈라우,,,,,,,,,,,,●,,,
통가,,,,,,,,,,,,●,,,
투발루,,,,,,,,,,,,●,,,
튀니지,,,,,,,,,,,●,,,,
튀르키예,,,,,,,,,●,,●,,,,
트리니다드토바고,,,,,,●,,,,,,●,,,
파나마,,,,,,●,,,,,,●,●,,
파라과이,,,,,,●,,,,,,●,●,,
파키스탄,,,,,●,,,,●,●,●,●,●,,
파푸아뉴기니,,,,,,,,,,●,,,,,
팔라우,,,,,,,,,,,,●,,,
팔레스타인,,,,,,,,,,●,,,,,
페루,,,,,,●,,,,,,●,●,●,
폴란드,,,,,,,,,,,●,,,,
폴리네시아,,,,,,,,,,,,●,,,
푸에르토리코,,,,,,,,,,,,●,,,
프랑스,,,,,,,,,,,●,●,●,,
프랑스령기아나,,,,,,●,,,,,,●,●,,
피지,,,,,,,,,,,,●,,,
필리핀,,,,,●,,,,,,●,●,●,,
