게시판,artclId,제목,등록일,URL
공지사항,310897,감염병 위기관리체계 고도화 관련 2차 민·관 합동포럼 개최 안내,2026.05.12,https://www.kdca.go.kr/bbs/kdca/50/310897/artclView.do
지침,311032,2026년도 예방접종 대상 감염병 관리 지침,2026.05.11,https://www.kdca.go.kr/bbs/kdca/55/311032/artclView.do
지침,311031,홍역 대응 지침(2026.5.),2026.05.11,https://www.kdca.go.kr/bbs/kdca/55/311031/artclView.do
지침,310916,2026년 다빈도 감염증 5종 항생제 적정사용을 위한 실무지침,2026.04.29,https://www.kdca.go.kr/bbs/kdca/55/310916/artclView.do
서식,310882,감염병 발생/사망 신고서('24.12.6.),2026.04.27,https://www.kdca.go.kr/bbs/kdca/57/310882/artclView.do
교육자료,310813,칸디다 오리스 치료 권고안,2026.04.20,https://www.kdca.go.kr/bbs/kdca/49/310813/artclView.do
지침,310715,고위험병원체 취급 및 보존 안전관리 가이드(2023),2026.04.10,https://www.kdca.go.kr/bbs/kdca/55/310715/artclView.do
지침,310657,2026년 국가지정 입원치료병상 운영과 관리 지침,2026.04.03,https://www.kdca.go.kr/bbs/kdca/55/310657/artclView.do
지침,310651,2026 검역업무지침,2026.04.02,https://www.kdca.go.kr/bbs/kdca/55/310651/artclView.do
교육자료,310643,다제내성결핵 치료 부작용 매뉴얼,2026.04.02,https://www.kdca.go.kr/bbs/kdca/49/310643/artclView.do
지침,310611,2026년도 호흡기감염병 관리지침(일부개정판),2026.03.30,https://www.kdca.go.kr/bbs/kdca/55/310611/artclView.do
지침,310605,말라리아 진료가이드(제3판),2026.03.30,https://www.kdca.go.kr/bbs/kdca/55/310605/artclView.do
지침,310557,2026년 예방접종 후 이상반응 관리지침,2026.03.26,https://www.kdca.go.kr/bbs/kdca/55/310557/artclView.do
공지사항,310533,2026년 2분기 중점검역관리지역 및 검역관리지역 안내,2026.03.24,https://www.kdca.go.kr/bbs/kdca/50/310533/artclView.do
지침,310524,2026년도 크로이츠펠트-야콥병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310524/artclView.do
지침,310522,2026년도 기생충감염병 관리지침,2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310522/artclView.do
지침,310521,"2026년도 인수공통감염병(브루셀라증, 공수병, 큐열, 유비저) 관리지침",2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310521/artclView.do
공지사항,310525,「코로나19 예방접종 피해보상 등에 관한 특별법」 관련 위원회 위원 명단(3.18.기준),2026.03.23,https://www.kdca.go.kr/bbs/kdca/50/310525/artclView.do
지침,310488,2026년도 칸디다 오리스 관리지침,2026.03.19,https://www.kdca.go.kr/bbs/kdca/55/310488/artclView.do
지침,310475,의료감염관리 지침·안내서 가이드맵 안내,2026.03.17,https://www.kdca.go.kr/bbs/kdca/55/310475/artclView.do
코로나19지침,310468,[중앙방역대책본부]  코로나바이러스감염증-19 치료제 사용 관련 변경 안내,2026.03.17,https://www.kdca.go.kr/bbs/kdca/245/310468/artclView.do
교육자료,310476,의료감염관리 지침·안내서 가이드맵 안내,2026.03.17,https://www.kdca.go.kr/bbs/kdca/49/310476/artclView.do
지침,310439,2026년 의료관련감염병 지역 의료기관 네트워크 운영 사업 지침,2026.03.13,https://www.kdca.go.kr/bbs/kdca/55/310439/artclView.do
지침,310434,2026년도 바이러스성 모기매개감염병 관리지침,2026.03.12,https://www.kdca.go.kr/bbs/kdca/55/310434/artclView.do
지침,310433,2026년도 말라리아 관리지침,2026.03.12,https://www.kdca.go.kr/bbs/kdca/55/310433/artclView.do
지침,310390,2026년도 진드기·설치류매개감염병 관리지침,2026.03.06,https://www.kdca.go.kr/bbs/kdca/55/310390/artclView.do
지침,310382,2026년 의료관련감염병 표본감시 운영 및 예산집행 안내,2026.03.06,https://www.kdca.go.kr/bbs/kdca/55/310382/artclView.do
지침,310321,2026년 성매개감염병 관리지침,2026.03.03,https://www.kdca.go.kr/bbs/kdca/55/310321/artclView.do
교육자료,310307,2025 원헬스 연차보고서,2026.03.03,https://www.kdca.go.kr/bbs/kdca/49/310307/artclView.do
지침,310222,2026년도 한센병사업관리지침,2026.02.24,https://www.kdca.go.kr/bbs/kdca/55/310222/artclView.do
지침,310098,2025년 CRE 감염증 감소전략 운영 사업 지침,2026.02.12,https://www.kdca.go.kr/bbs/kdca/55/310098/artclView.do
