연도,주차,감염병,유입국가,신고수,출처호
2026,2,뎅기열,인도네시아,1,19-2
2026,2,매독(잠복),중국,1,19-2
2026,2,매독(잠복),태국,1,19-2
2026,6,세균성이질,라오스,1,19-6
2026,6,C형간염,몽골,1,19-6
2026,11,수두,방글라데시,1,19-10
2026,11,수두,중국,2,19-10
2026,11,뎅기열,몰디브,1,19-10
2026,11,매독(1기),베트남,1,19-10
2026,15,유행성이하선염,베트남,1,19-14
2026,15,C형간염,미국,1,19-14
2026,15,뎅기열,베트남,1,19-14
2026,15,매독(2기),태국,2,19-14
2026,19,수두,베트남,1,19-18
2026,19,성홍열,홍콩,1,19-18
2026,19,말라리아,코트디부아르,1,19-18
2026,19,레지오넬라증,중국,1,19-18
2026,23,C형간염,몽골,1,19-22
2026,23,말라리아,에티오피아,2,19-22
2026,23,매독(1기),이집트,1,19-22
2026,27,수두,베트남,1,19-26
2026,27,수두,일본,2,19-26
2026,27,A형간염,일본,1,19-26
2026,27,뎅기열,캄보디아,1,19-26
2026,27,매독(2기),태국,1,19-26
2026,27,매독(잠복),몽골,1,19-26
2026,31,수두,중국,2,19-30
2026,31,수두,베트남,1,19-30
2026,31,세균성이질,탄자니아,1,19-30
2026,31,장출혈성대장균감염증,탄자니아,1,19-30
2026,31,뎅기열,베트남,1,19-30
2026,31,엠폭스(원숭이두창),일본,1,19-30
2026,31,매독(1기),필리핀,1,19-30
2026,31,매독(2기),필리핀,1,19-30
2026,31,매독(2기),일본,1,19-30
2026,31,매독(3기),베트남,1,19-30
2026,35,수두,베트남,1,19-34
2026,35,수두,싱가포르,1,19-34
2026,35,한센병,미얀마,1,19-34
2026,35,말라리아,가나,1,19-34
2026,35,뎅기열,말레이시아,1,19-34
2026,35,매독(1기),중국,1,19-34
2026,35,매독(2기),베트남,1,19-34
2026,35,매독(2기),태국,1,19-34
