감시군,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,지정기준 변경·비고
인플루엔자(ILI),70,541,578,624,679,678,701,681,677,814,810,849,854,200,200,200,200,200,200,200,200,200,197,196,299,295,"2013년 854→200 대개편, 2024년 299로 확대(신종인플루엔자 대비계획의 1,000개소 목표와 연동)"
기생충감염병,,,,,,,,,,,,278,285,284,286,287,288,290,280,280,279,26,26,27,26,26,2018 정비로 보건환경연구원 제외 / ⚠️ 2021년 279→26으로 분모 90% 축소 — 이 해 전후 신고수 직접 비교 불가
합병증을 동반한 수족구병,,,,,,,,,,39,43,44,44,44,43,99,101,196,197,190,210,208,208,205,204,191,2015·2017.7.30 지정기준 변경(확대)
성매개감염병,,486,518,530,549,551,558,554,565,568,563,587,587,581,588,571,586,580,586,593,586,579,574,565,560,561,"2011 지정기준 변경(보건소+민간 2개소 → 인구 10만당 1개소) / 매독은 2024 전수 전환으로 제외, HPV는 2020 편입"
의료관련감염병,,,,,,,,,,,,97,100,100,100,100,115,189,230,268,289,296,300,326,356,362,지정기준 변경 2011(300병상↑)·2017(200병상↑)·2019(150병상↑)·2022(100병상↑) / 2012.10부터 지표가 신고수→분리율(%)로 변경
장관감염증,,,,,,,,,,,,89,101,105,110,100,102,196,195,204,207,208,208,207,210,210,2015·2017.7.30 지정기준 변경(기관 약 2배)
급성호흡기감염증,,,,,,,,,,,,87,95,101,99,103,102,206,204,213,217,219,219,220,220,221,2017.7.30 지정기준 변경(기관 약 2배)
해외유입기생충감염증,,27,27,27,27,27,27,27,26,26,26,27,28,29,28,28,27,27,27,27,27,27,27,27,26,26,2001~ 기생충학교실 보유 의과대학·부속병원
엔테로바이러스 감염증,,,,,,,,,,,,92,103,106,109,99,102,197,197,207,210,211,212,208,212,212,2015·2017.7.30 지정기준 변경(기관 약 2배)
