ISO3,국가,지역,직항도착여객(환승제외),환승여객,도착편수,외국인입국자(국적),검역관리지역_종수,중점_종수,유입신고_건수,유입신고_질병,건수_백만직항여객당,건수_백만입국자당,국적/노선비
IDN,인도네시아,아시아,1279182,147885,6563,969594,5,0,18,뎅기열(11); 말라리아(2); 수두(1); 매독(1기)(1); 매독(잠복)(1); 지카바이러스감염증(1); 치쿤구니야열(1),14.07,18.56,0.76
IND,인도,아시아,213223,38125,1143,520941,6,2,4,치쿤구니야열(1); 뎅기열(1); A형간염(1); 매독(1기)(1),18.76,7.68,2.44
IRL,아일랜드,유럽,,,,38604,0,0,0,,,0.0,
IRN,이란,아시아,,,,10293,2,1,0,,,0.0,
IRQ,이라크,아시아,62,0,1,6447,4,1,0,,0.0,0.0,103.98
ISL,아이슬란드,유럽,,,,2191,0,0,0,,,0.0,
ISR,이스라엘,아시아,,,,53236,2,1,0,,,0.0,
ITA,이탈리아,유럽,554951,34726,2279,197653,3,0,0,,0.0,0.0,0.36
JAM,자메이카,아메리카,,,,3551,1,0,0,,,0.0,
JOR,요르단,아시아,320,0,1,6569,1,1,0,,0.0,0.0,20.53
JPN,일본,아시아,34465885,1220133,190506,9254774,0,0,10,수두(3); 백일해(2); C형간염(1); 매독(잠복)(1); A형간염(1); 엠폭스(원숭이두창)(1); 매독(2기)(1),0.29,1.08,0.27
KAZ,카자흐스탄,아시아,253486,35750,1813,173025,2,0,0,,0.0,0.0,0.68
KEN,케냐,아프리카,,,,13383,6,0,0,,,0.0,
KGZ,키르기스스탄,아시아,28880,4920,278,34512,1,0,0,,0.0,0.0,1.2
KHM,캄보디아,아시아,349321,109840,2635,147103,3,1,7,뎅기열(3); 세균성이질(1); 매독(2기)(1); 매독(잠복)(1); 유비저(1),20.04,47.59,0.42
KIR,키리바시,오세아니아,,,,441,1,0,0,,,0.0,
KNA,세인트키츠네비스,아메리카,,,,2006,1,0,0,,,0.0,
KWT,쿠웨이트,아시아,,,,9873,1,1,0,,,0.0,
LAO,라오스,아시아,470410,8528,3041,75761,3,0,11,뎅기열(5); 매독(1기)(2); 매독(잠복)(1); 필리핀(1) 매독(2기)(1); 유비저(1); 세균성이질(1),23.38,145.19,0.16
LBN,레바논,아시아,593,0,4,2881,2,1,0,,0.0,0.0,4.86
LBR,라이베리아,아프리카,,,,520,4,0,0,,,0.0,
LBY,리비아,아프리카,,,,5906,1,0,0,,,0.0,
LCA,세인트루시아,아메리카,,,,836,1,0,0,,,0.0,
LIE,리히텐슈타인,유럽,,,,285,0,0,0,,,0.0,
LKA,스리랑카,아시아,54327,2302,270,75389,2,0,1,뎅기열(1),18.41,13.26,1.39
LSO,레소토,아프리카,,,,217,1,0,0,,,0.0,
LTU,리투아니아,유럽,,,,15155,0,0,0,,,0.0,
LUX,룩셈부르크,유럽,,,,4782,0,0,0,,,0.0,
LVA,라트비아,유럽,,,,8889,0,0,0,,,0.0,
MAC,마카오,아시아,643628,4101,4284,120078,0,0,0,,0.0,0.0,0.19
MAF,세인트마틴,아메리카,,,,,1,0,0,,,,
MAR,모로코,아프리카,,,,14979,1,0,0,,,0.0,
MCO,모나코,유럽,,,,162,0,0,0,,,0.0,
MDA,몰도바,유럽,,,,1229,1,0,0,,,0.0,
MDG,마다가스카르,아프리카,,,,5669,4,1,0,,,0.0,
MDV,몰디브,아시아,,,,732,2,0,1,뎅기열(1),,1366.12,
MEX,멕시코,아메리카,129716,11126,674,199081,4,0,1,매독(잠복)(1),7.71,5.02,1.53
MHL,마셜제도,오세아니아,,,,538,0,0,0,,,0.0,
MKD,북마케도니아,유럽,,,,356,0,0,0,,,0.0,
MLI,말리,아프리카,,,,383,3,0,0,,,0.0,
MLT,몰타,유럽,,,,2669,0,0,0,,,0.0,
MMR,미얀마,아시아,80679,6539,684,242910,2,0,3,A형간염(1); 말라리아(1); 한센병(1),37.18,12.35,3.01
MNE,몬테네그로,유럽,,,,5481,0,0,0,,,0.0,
MNG,몽골,아시아,869875,135499,5874,433404,2,1,9,매독(잠복)(4); C형간염(4); 백일해(1),10.35,20.77,0.5
MNP,사이판,오세아니아,322410,20659,2179,,0,0,0,,0.0,,
MOZ,모잠비크,아프리카,,,,878,2,0,0,,,0.0,
MRT,모리타니,아프리카,,,,280,3,0,0,,,0.0,
MTQ,마르티니크,아메리카,,,,,1,0,0,,,,
MUS,모리셔스,아프리카,,,,5264,2,0,0,,,0.0,
MWI,말라위,아프리카,,,,702,2,0,0,,,0.0,
MYS,말레이시아,아시아,1639336,36549,8462,821754,3,0,4,수두(1); 레지오넬라증(1); 신증후군출혈열(1); 뎅기열(1),2.44,4.87,0.5
MYT,마요트,아프리카,,,,,2,0,0,,,,
NAM,나미비아,아프리카,,,,459,2,0,0,,,0.0,
NCL,뉴칼레도니아,오세아니아,,,,1,1,0,0,,,0.0,
NER,니제르,아프리카,,,,101,3,0,0,,,0.0,
NFK,노퍽섬,오세아니아,,,,8,0,0,0,,,0.0,
NGA,나이지리아,아프리카,,,,6269,6,0,2,말라리아(2),,319.03,
NIC,니카라과,아메리카,,,,1529,1,0,0,,,0.0,
NLD,네덜란드,유럽,363422,29818,1427,160391,1,0,0,,0.0,0.0,0.44
NOR,노르웨이,유럽,8678,112,35,40233,0,0,0,,0.0,0.0,4.64
NPL,네팔,아시아,47360,36822,360,127096,3,0,2,매독(1기)(2),42.23,15.74,2.68
NRU,나우루,오세아니아,0,5,1,135,1,0,0,,,0.0,
NZL,뉴질랜드,오세아니아,165398,13796,749,114525,0,0,0,,0.0,0.0,0.69
OMN,오만,아시아,50,28,1,5043,1,1,0,,0.0,0.0,100.86
PAK,파키스탄,아시아,,,,45750,6,0,0,,,0.0,
PAN,파나마,아메리카,,,,4608,3,0,0,,,0.0,
PER,페루,아메리카,,,,19144,4,0,0,,,0.0,
PHL,필리핀,아시아,4745510,825478,30407,1575265,4,0,20,뎅기열(5); 매독(1기)(4); 세균성이질(3); 매독(2기)(3); 백일해(2); 매독(잠복)(1); A형간염(1); 수두(1),4.21,12.7,0.33
PLW,팔라우,오세아니아,,,,394,1,0,0,,,0.0,
PNG,파푸아뉴기니,오세아니아,,,,1158,1,0,0,,,0.0,
POL,폴란드,유럽,187738,4064,825,137442,1,0,0,,0.0,0.0,0.73
PRI,푸에르토리코,아메리카,,,,,1,0,0,,,,
PRK,북한,아시아,,,,,0,0,1,C형간염(1),,,
PRT,포르투갈,유럽,70058,1846,294,43464,0,0,0,,0.0,0.0,0.62
PRY,파라과이,아메리카,,,,2608,3,0,0,,,0.0,
PSE,팔레스타인,아시아,,,,695,1,0,0,,,0.0,
