연도,지역,국가,도착편수,도착여객_전체,도착여객_환승
2026,아시아,스리랑카,54,13642,927
2026,유럽,스웨덴,2,565,0
2026,유럽,스위스,106,26163,1033
2026,유럽,스페인,387,103157,7903
2026,아시아,싱가포르,2958,644141,31056
2026,기타,아랍에미레이트,516,157439,2040
2026,기타,에티오피아,182,23051,1520
2026,유럽,영국,540,122917,16838
2026,기타,오만,1,78,28
2026,유럽,오스트리아,109,28525,2408
2026,유럽,우즈베키스탄,456,95939,7560
2026,기타,이집트,5,1429,0
2026,유럽,이탈리아,555,150427,12058
2026,아시아,인도,302,69342,14249
2026,아시아,인도네시아,1720,370755,57545
2026,일본,일본,49898,9294895,354414
2026,유럽,조지아,2,561,0
2026,중국,중국,34096,5789595,421327
2026,유럽,체코,199,54615,7311
2026,유럽,카자흐스탄,507,78043,8508
2026,기타,카타르,196,56798,1483
2026,아시아,캄보디아,503,81613,22880
2026,미주,캐나다,1224,340229,131351
2026,유럽,크로아티아,10,2108,114
2026,유럽,키르기즈스탄,60,7286,892
2026,아시아,태국,4920,1055554,139174
2026,유럽,투르크매니스탄,30,4143,19
2026,유럽,튀르키예,573,168377,8908
2026,유럽,포르투칼,91,23107,729
2026,유럽,폴란드,197,45356,1128
2026,유럽,프랑스,664,169673,13763
2026,유럽,핀란드,212,54819,1298
2026,아시아,필리핀,5836,1129740,202067
2026,대양주,하와이,493,129362,34439
2026,기타,한국,0,0,0
2026,유럽,헝가리,160,41916,4225
2026,대양주,호주,976,286337,20556
2026,아시아,홍콩,5152,1060861,46611
