주차,감염병,보고기관당_신고수,출처호
27,클라미디아 감염증,1.5,19-26
27,임질,1.1,19-26
31,사람유두종바이러스 감염증,3.4,19-30
31,성기단순포진,2.3,19-30
31,첨규콘딜롬,1.7,19-30
31,클라미디아 감염증,1.6,19-30
31,임질,1.3,19-30
35,사람유두종바이러스 감염증,3.3,19-34
35,성기단순포진,2.4,19-34
35,첨규콘딜롬,1.7,19-34
35,클라미디아 감염증,1.5,19-34
35,임질,1.1,19-34
