연도,연령,출생연도,백신,항목,값,이상
2017,3세,2014,BCG,접종자,429857.0,
2017,3세,2014,BCG,접종률,98.0,
2017,3세,2014,DTaP,접종자,423858.0,
2017,3세,2014,DTaP,접종률,96.6,
2017,3세,2014,HepB,접종자,428162.0,
2017,3세,2014,HepB,접종률,97.6,
2017,3세,2014,Hib,접종자,419969.0,
2017,3세,2014,Hib,접종률,95.7,
2017,3세,2014,IPV,접종자,428632.0,
2017,3세,2014,IPV,접종률,97.7,
2017,3세,2014,JE,접종자,407777.0,
2017,3세,2014,JE,접종률,92.9,
2017,3세,2014,MMR,접종자,428715.0,
2017,3세,2014,MMR,접종률,97.7,
2017,3세,2014,PCV,접종자,424761.0,
2017,3세,2014,PCV,접종률,96.8,
2017,3세,2014,VAR,접종자,427997.0,
2017,3세,2014,VAR,접종률,97.6,
